restaurant_id,name,description,pricing,cuisine_type,source_city,cover_url,logo_url
f7eb7e59-0b4f-4d59-bb67-16a51a74da7f,Arax,Premium Middle Eastern cuisine specializing in succulent chicken and meat dishes.,৳৳৳,"Chicken, Middle Eastern, Meat",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/a8kg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cr8iu-logo.jpg
3154e198-a01b-44e1-ac7b-35667d233fa5,Shawarma House - Banani,A Banani staple for juicy shawarmas and lightning-fast Mediterranean bites.,৳৳৳,"Middle Eastern, Shawarma, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s2je-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ch6un-logo.jpg
fc44b4e3-8b67-44e3-931a-ea02d2cbb808,Bella Italia - Gulshan,Elegant Mediterranean dining featuring artisanal pizzas and Western favorites.,৳৳৳,"Italian, Mediterranean, Pizza, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s4ax-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cp8qx-logo.jpg
146b6dff-1536-46bc-bc93-19b9b4c7b6be,Burger Xpress - Banani,"No-nonsense, high-quality Western burgers for the fast-paced foodie.",৳৳,"Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/vyi8-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cs8ya-logo.jpg
de790ce1-8ac3-47e4-ae01-c2753d88880b,Chillox - Banani,The local legend for juicy burgers and casual Western-style hangouts.,৳৳,"Iftar, Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s4ru-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ch6kt-logo.jpg
94524a58-780f-45fc-b984-847dc2fcb8a1,Madchef - Banani,Experimental and gourmet burgers that push the boundaries of fast food.,৳৳৳,"Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/ce2hc-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ce2hc-logo.jpg
c1451325-8a19-4f32-a606-e7694dd81e70,Takeout - Banani,Famous for their signature burgers and bustling urban vibe.,৳৳,"Iftar, Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s7zs-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ca3ho-logo.jpg
06272eb4-13ca-4123-8b0c-3167fc810996,Best Fried Chicken (BFC) - Banani,Bangladesh's homegrown answer to premium fried chicken and burgers.,৳৳,"Chicken, Meat, Burgers, Western, Fast Food, Fried Chicken",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cz2vz-logo.jpg
ab0952d5-8f6e-489e-9a8b-719130952f8d,Cheez - Banani,A cheese-lover's paradise featuring Italian pizzas and Mediterranean sides.,৳৳৳,"Italian, Mediterranean, Pizza, Western",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/cp6ts-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cp6ts-logo.jpg
1e524488-2313-4422-9f74-ade7bb45bac9,KFC Banani,The global standard for finger-lickin' good fried chicken.,৳৳৳,"Chicken, Iftar, Seheri, Meat, Burgers, Western, Fast Food, Fried Chicken",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s4hz-hero.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cs8gf-logo.jpg
9c27c04f-7e13-40ed-9990-27bb08fbac85,Dhaba Banani,Vibrant Indian street food vibes with incredible Doi and curry.,৳৳৳,"Curry, Iftar, Indian, Doi, Asian, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s6kj-hero.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cs6mx-logo.jpg
e9675cb1-0b4c-484c-9697-c488da2e5f8d,Dekchi,Traditional Turkish and Indian fusion served with a modern twist.,৳৳,"Turkish, Kebab, Middle Eastern, Indian, Biryani, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/lbnb-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ca9tl-logo.jpg
1139454f-5d05-4ce4-a2f8-8cf5b1522450,Tarka - Grand Iftar Bazar,Bold Turkish kebabs and creamy Doi for a premium Iftar experience.,৳৳৳,"Turkish, Kebab, Snacks, Middle Eastern, Beverage, Iftar, Doi",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s5yy-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/s5yy-logo.jpg
2a427fdb-d325-4e44-8105-b638750c432f,Turkish Adana Kebab & Restaurant,Specialized Turkish grill house focusing on the authentic Adana style.,৳৳৳,"Turkish, Kebab, Middle Eastern, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/wkbg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cf8ty-logo.jpg
f8aefea0-b0dd-4e25-aea9-79bd322a8b2c,Chows,Elegant and authentic Chinese cuisine focusing on traditional flavors and fresh ingredients.,৳৳৳,"Chinese, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s0mi-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cy8oq-logo.jpg
42e4b55e-f74b-4d7e-ba84-495181faf36c,Barcode Cafe - Banani,A trendy urban hangout blending local Tehari favorites with modern Western fast food.,৳৳৳,"Tehari, Beverage, Iftar, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s2lh-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/co9jz-logo.jpg
3eb6c380-37be-473a-b299-a4c7fc61baaa,Aaheli Kabab & Restaurant,A premium destination for aromatic Indian and Middle Eastern tandoori specialties.,৳৳৳,"Turkish, Kebab, Curry, Middle Eastern, Indian, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s3bp-hero.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ce4wy-logo.jpg
48a4b288-3713-4e5e-b0ca-4e8a7020b9d0,Hakka Dhaka - Banani,"Premier Indo-Chinese fusion serving up the best dumplings, noodles, and spicy soups.",৳৳৳,"Curry, Rice Dishes, Iftar, Seheri, Soups, Noodles, Chinese, Asian, Dumpling",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s8mm-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cv8nr-logo.jpg
94920e9e-79c6-441b-aaeb-3b32691a9016,Tri State Eatery - Grand Iftar Bazar (Banani),A diverse menu featuring Turkish grills and traditional Bangladeshi rice dishes.,৳৳৳,"Turkish, Kebab, Tehari, Snacks, Curry, Rice Dishes, Middle Eastern, Iftar, Dessert, Doi",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s4es-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/s4es-logo.jpg
a16a95e4-026f-4905-8076-a87c53e9e189,Boomers Cafe - Banani,A versatile multi-cuisine hub serving everything from Chinese to Western burgers.,৳৳৳,"Rice Dishes, Beverage, Indian, Dessert, Chinese, Burgers, Western, Asian, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s9od-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cs1ux-logo.jpg
e2e9473f-af0f-4b07-8570-9961fe032728,Cheong Shing Chinese Restaurant,"Long-standing favorite for classic, family-style Chinese and Asian curry.",৳৳৳,"Curry, Chinese, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s3mw-listing.JPG,https://images.deliveryhero.io/image/fd-bd/bd-logos/cu9fe-logo.jpg
11ba52cc-f1fc-4bc7-96a0-0c8697360783,Herfy - Banani,High-quality Western-style fast food specializing in premium beef and chicken.,৳৳৳,"Chicken, Meat, Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/cz0gg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cz0gg-logo.jpg
03a4a2ea-6b88-45bf-b5a1-0600a9571e52,Fools Diner,A unique seafood and Japanese-inspired diner offering a fresh Asian perspective.,৳৳৳,"Seafood, Japanese, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s4qu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cg8lt-logo.jpg
74d8fc38-5e61-4fef-bcbc-6b1f0df4ea0f,Durum (Turkish Doner),Authentic Turkish street wraps focusing on the perfect Doner meat-to-veg ratio.,৳৳৳,"Wraps, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/e9ri-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ck9sd-logo.jpg
1eefa57e-42f5-406e-8470-c2aef8fe954d,Rosh - Banani Bazar,Traditional dessert specialists focusing on premium sweets and creamy Doi.,৳৳৳,"Iftar, Dessert, Doi, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/zvpg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cs9qc-logo.jpg
17bf042f-1b8a-4692-b5eb-4673ee60d8cc,Sausly's Foods - Banani,Quick-service Western deli focusing on sandwiches and sweet treats.,৳৳,"Sandwiches, Dessert, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/u0eu-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cy5dq-logo.jpg
d353e645-e451-490b-aeb3-2ad2fdb760dd,Shumi's Hot Cake - Banani,A household name for legendary chocolate cakes and a wide variety of baked desserts.,৳৳৳,"Cakes, Dessert, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/mvlg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cc7ac-logo.jpg
77386dcc-d2af-4ae3-8492-0bbb87e24e20,Turkish Adana Kebab & Restaurant - Grand Iftar Bazar,Specialists in the authentic Adana style of charcoal-grilled Turkish meat and sweets.,৳৳৳,"Turkish, Kebab, Snacks, Middle Eastern, Jilapi, Iftar, Dessert",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s6fm-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/s6fm-logo.jpg
7277b727-b0bb-40ad-bcfe-d20ac72f4f4b,Paragon Momo - Banani,The go-to spot for steaming hot Asian momos and flavorful dumplings.,৳,"Snacks, Chinese, Asian, Dumpling",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/f2y9-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ck8tf-logo.jpg
ffeeb19b-acaf-473c-a7c9-d18d466d44ff,The Coffee Lounge - Banani,A premium urban escape for coffee enthusiasts and late-night Seheri diners.,৳৳৳,"Beverage, Iftar, Seheri, Cafe, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/u2i3-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/u2i3-logo.jpg
9ae48ec5-28bd-4ac1-9e87-552e8053f607,Crisp - Banani,Dedicated to the perfect crunch—specializing in crispy burgers and Western sides.,৳৳,"Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/wbfh-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ct1la-logo.jpg
8b563e21-57fa-4955-bd5a-4941d504d72e,Sub Lovers - Banani,Freshly made Western-style sub sandwiches with a variety of gourmet fillings.,৳৳,"Sandwiches, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s0fa-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cg7dw-logo.jpg
fcf3d9cc-e824-4d06-b1fe-b64dc2936251,Premium Sweets- Gulshan 2,"An upscale destination for elite Bengali sweets, Turkish kebabs, and luxury Iftar.",৳৳৳,"Turkish, Doi, Bakery, Faluda, Kebab, Tehari, Curry, Rice Dishes, Middle Eastern, Jilapi, Beverage, Iftar, Dessert",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s7pr-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cf0qu-logo.jpg
d8b6d55a-39cc-4a20-aff8-8139fdf02179,Puro Pastry & Bakery Banani-WBC,Modern bakery chain known for its consistent quality in cakes and savory pastries.,৳৳,"Cakes, Dessert, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/ne0t-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cx6az-logo.jpg
a72c1c06-fc74-4f53-91ba-8f26ef632975,Delifrance - Banani,Authentic French bakery experience serving premium pastries and gourmet cafe food.,৳৳৳,"Beverage, Iftar, Dessert, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/k7tq-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cj8sk-logo.jpg
de8abb84-f9bf-42cc-89b7-72cfeff25141,Kona Cafe,A vibrant cafe atmosphere offering a mix of specialty coffee and popular fast food.,৳৳৳,"Beverage, Cafe, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/o092-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cy0qq-logo.jpg
8144e5e3-ccda-45de-927e-8302bdea69b8,Secret Recipe Gulshan-2 Flagship,International franchise famous for award-winning cakes and a diverse Western menu.,৳৳৳,"Cakes, Italian, Mediterranean, Soups, Sandwiches, Pizza, Dessert, Burgers, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/u0xt-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cd5oy-logo.jpg
6035b744-9a68-485d-9025-5260e3834a25,Rabbit Bites,"A playful mix of Asian and Western cuisine, from dumplings to hearty sandwiches.",৳৳৳,"Rice Dishes, Sandwiches, Noodles, Chinese, Western, Asian, Dumpling",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/z2jg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/z2jg-logo.jpg
4505c62f-dd69-4912-9cd4-4396da1304c3,Gotcha - Art of Tea - Banani,"Modern bubble tea and specialty beverage shop with a focus on the ""art of brewing.""",৳৳,"Beverage, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/qbyo-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cj5pq-logo.jpg
2f637a78-dff2-4245-898b-dbcd922c2bff,Umai,"High-end Japanese dining focusing on fresh seafood and premium, precision-cut sushi rolls.",৳৳৳,"Sushi, Seafood, Japanese, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s2yd-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ca4uo-logo.jpg
e0fe4729-8b88-4307-b27a-5f33b10e62e6,Bella Italia - Dhanmondi,Elegant Mediterranean dining featuring artisanal pizzas and classic Italian pasta.,৳৳৳,"Italian, Pasta, Mediterranean, Pizza, Western",Dhaka - Dhanmondi,https://images.deliveryhero.io/image/fd-bd/LH/s8mp-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cp8qx-logo.jpg
ce514c82-19e5-4c4b-8ba9-aaecbe1aa696,Redres,A quick-service spot for spicy local curries and popular fast-food favorites.,৳৳,"Curry, Fast Food",Dhaka - Dhanmondi,https://images.deliveryhero.io/image/fd-bd/LH/s6ny-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cp1cc-logo.jpg
422fc353-46b3-4d35-8e27-1187ffdb34b9,Chicken Buzz - Dhanmondi,Dedicated to the perfect crunch—offering crispy fried chicken and Western snacks.,৳৳,"Chicken, Snacks, Iftar, Meat, Western, Fast Food",Dhaka - Dhanmondi,https://images.deliveryhero.io/image/fd-bd/LH/k7s1-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ci8yo-logo.jpg
fa3ca5ed-a845-4513-a119-f64ac2e76ae1,Madchef - Dhanmondi,Experimental gourmet burgers that push the boundaries of traditional fast food.,৳৳৳,"Burgers, Western, Fast Food",Dhaka - Dhanmondi,https://images.deliveryhero.io/image/fd-bd/LH/ce2hc-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ce2hc-logo.jpg
d7aa186a-49c9-46e8-ba50-645341e9b315,Takeout - Dhanmondi,Famous for their signature massive burgers and a bustling urban atmosphere.,৳৳,"Iftar, Burgers, Western, Fast Food",Dhaka - Dhanmondi,https://images.deliveryhero.io/image/fd-bd/LH/s2zn-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ca3ho-logo.jpg
